,Cluster,Biomarker,Relations
4180,0,hFABP,"[{'article': 'PMC6966425.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': 'Progression from mild cognitive impairment to AD'}, {'article': 'PMC6966425.txt', 'relationship': 'CORRELATES_WITH', 'object': 'Brain atrophy among individuals with low cerebral spinal fluid Aβ42'}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Patient selection in Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis in Alzheimer's Disease""}]"
942,1,COI scores,"[{'article': 'PMC5226952.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Higher semantic organization and improved performance in Experiment 2'}]"
2142,1,KBIT-2 nonverbal raw score,"[{'article': 'PMC6374283.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Prodromal dementia'}]"
1843,1,HS score,"[{'article': 'PMC6748929.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6748929.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6748929.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC6748929.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC6748929.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}]"
1587,1,Five Time Sit-to-Stand test (FTSS) score,"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Postural and physical impairments'}]"
2644,1,Omnibus Scores (Omn),"[{'article': 'PMC5226952.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease Progression""}]"
4338,1,omnibus scores,"[{'article': 'PMC5226952.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3541,1,Test time score,"[{'article': 'PMC7392684.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
108,1,ACE total score,"[{'article': 'PMC4811920.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Cognitive decline associated with Alzheimer's Disease""}]"
1844,1,HS scores,"[{'article': 'PMC6748929.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease presence via Aβ PET status correlation""}]"
2059,1,Imagined Timed 'Up & Go' (iTUG) score,"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Motor imagery deficits'}]"
2703,1,PAL scores,"[{'article': 'PMC10916999.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Mild cognitive impairment and Alzheimer's Disease""}, {'article': 'PMC10916999.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Longitudinal decline predicts progression from mild cognitive impairment to Alzheimer's Disease""}]"
2241,1,Lumosity game scores,"[{'article': 'PMC7729136.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive changes due to MPH treatment in Alzheimer's Disease""}]"
3764,1,WMH (Fazekas score),"[{'article': 'PMC4706154.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Processing speed'}, {'article': 'PMC4706154.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Cognitive ability'}]"
2143,1,KBIT-2 verbal raw score,"[{'article': 'PMC6374283.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Preclinical dementia'}]"
4209,1,inaccuracy score,"[{'article': 'PMC10916999.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
3565,2,Thioflavin T,"[{'article': 'PMC5297247.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Amyloid deposits in Alzheimer's Disease""}]"
4567,2,thioflavin S,"[{'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3564,2,Thioflavin S,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1581,2,Fibrinogen,"[{'article': 'PMC3940003.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Blood-brain barrier damage in Alzheimer's Disease""}]"
1580,2,Fibrin,"[{'article': 'PMC4939696.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4939696.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2520,3,NMDS criteria,"[{'article': 'PMC3407718.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2511,3,NINCDS/ADRDA criteria,"[{'article': 'PMC5067903.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
1761,3,Global Deterioration Scale (GDS) score,"[{'article': 'PMC6794759.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Severity of dementia in Alzheimer's Disease""}]"
1740,3,Gd-DOTA concentration,"[{'article': 'PMC8905724.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitoring: Blood-brain barrier disruption efficacy'}]"
10,3,129Xe retention parameter,"[{'article': 'PMC9314594.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
3532,3,Temporal Decline Percentage (TDP),"[{'article': 'PMC5147824.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive decline in Alzheimer's Disease""}]"
4135,4,florbenazine,"[{'article': 'PMC4027995.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Cognitive function in Dementia with Lewy Bodies (DLB)'}]"
1599,4,Flortaucipir,"[{'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Alzheimer’s Disease'}, {'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Tau tangles'}]"
1600,4,Flortaucipir SUVr,"[{'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7295920.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4142,4,flortaucipir SUVr,"[{'article': 'PMC7295920.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1590,4,Florbenazine,"[{'article': 'PMC4027995.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}]"
4136,4,florbenazine SUVr,"[{'article': 'PMC4027995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
4141,4,flortaucipir,"[{'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Tau pathology beyond the mesial temporal lobe'}, {'article': 'PMC5382945.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Cognitive impairment in Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau pathology in Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Longitudinal cognitive deterioration'}, {'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment in Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Age-related decrease in SUVr in Aβ+ subjects'}, {'article': 'PMC5382945.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive performance on MMSE and ADAS'}, {'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease-related tau deposition""}, {'article': 'PMC5382945.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive impairment in Alzheimer's Disease""}, {'article': 'PMC5382945.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Monitoring effects of Alzheimer's Disease therapies""}, {'article': 'PMC7295920.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Ptau burden'}, {'article': 'PMC7295920.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
3839,5,[11C]PIB,"[{'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose Alzheimer's Disease by measuring Aβ load""}, {'article': 'PMC4877513.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Aβ deposition in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid load in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Liraglutide treatment in Alzheimer's Disease patients""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid-beta'}, {'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3841,5,[11C]PiB PET,"[{'article': 'PMC2764863.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid deposition in AD'}]"
3873,5,[C11]PiB PET,"[{'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2731,5,PET,"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6130053.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6236893.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Functional disability progression in Alzheimer's Disease""}, {'article': 'PMC6884754.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
2859,5,PiB load,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Early AD marker'}]"
2745,5,PIB,"[{'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease-related cognitive impairment""}, {'article': 'PMC4346122.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease presence of amyloid plaques""}]"
2746,5,PIB imaging,"[{'article': 'PMC4870937.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4870937.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2747,5,PIB-PET,"[{'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Amyloid plaques associated with Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Predict Pittsburgh compound B positivity'}]"
2752,5,PILRB,"[{'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}]"
4,5,11C-PiB,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Aβ deposition in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Aβ plaque deposition in Alzheimer's Disease""}]"
2857,5,PiB,"[{'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Amyloid-beta (Aβ) burden'}, {'article': 'PMC5144753.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuritic Plaques (NPs)'}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Diffuse Plaques (DPs)'}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral Amyloid Angiopathy (CAA)'}]"
2734,5,PET-PiB,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differential diagnosis of dementia'}]"
2860,5,PiB-PET,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Brain amyloid load in preclinical Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Amyloid Positivity in Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid Accumulation in Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid-beta pathology'}, {'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Early detection of amyloid-beta burden'}, {'article': 'PMC5144753.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive decline associated with neuritic plaques'}]"
2861,5,PiB-positive individuals,"[{'article': 'PMC3523068.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Risk for AD-type dementia'}]"
3762,6,WM volume,"[{'article': 'PMC8351379.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
3769,6,WMH volume,"[{'article': 'PMC8530186.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC8530186.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC8530186.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8530186.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Slow gait speed, large total WMH volume, and WMH volume in the frontal lobe'}]"
1274,6,DG volume,"[{'article': 'PMC10075195.txt', 'relationship': 'ASSOCIATED_WITH', 'object': 'RI (hippocampal-dependent memory process)'}]"
4155,6,fusiform volume,"[{'article': 'PMC4132648.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1686,6,GM volume,"[{'article': 'PMC3675142.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC3675142.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}, {'article': 'PMC3675142.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Mild Cognitive Impairment and Early Alzheimer's Disease""}]"
3585,6,Total WMH volume,"[{'article': 'PMC6521224.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Outcome: Alzheimer's Disease""}]"
1817,6,HATA volume,"[{'article': 'PMC10127414.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3584,6,Total WM volume,"[{'article': 'PMC8351379.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response: Simvastatin treatment in Alzheimer's Disease""}]"
3578,6,Total GM volume,"[{'article': 'PMC8351379.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]"
1434,6,ERC volume,"[{'article': 'PMC3767625.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Conversion to mild cognitive impairment'}]"
1435,6,ERC volume loss,"[{'article': 'PMC3767625.txt', 'relationship': 'PREDICTS_CONVERSION_TO', 'object': 'Mild cognitive impairment'}]"
1924,7,Hit rate,"[{'article': 'PMC4656817.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Malingering in neuropsychological testing'}]"
1925,7,Hit-rate,"[{'article': 'PMC4374455.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Alzheimer's Disease""}]"
4098,7,double support percentage,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'increased number of microbleeds'}]"
4099,7,double support time,"[{'article': 'PMC6565843.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'silent infarcts and microbleeds'}]"
619,8,Aβ42 oligomers,"[{'article': 'PMC7424995.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Treatment with ALZ-801'}]"
644,8,AβPP,"[{'article': 'PMC6015016.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}]"
647,8,Aβo (oligomeric amyloid beta),"[{'article': 'PMC4396171.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
651,8,Aβx–40 peptide levels,"[{'article': 'PMC4866415.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}]"
564,8,Aβ protein,"[{'article': 'PMC3226277.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4095696.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4095696.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
652,8,Aβ−,"[{'article': 'PMC5382945.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Lower likelihood of Alzheimer's Disease""}]"
563,8,Aβ positivity,"[{'article': 'PMC7995588.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
562,8,Aβ polymers,"[{'article': 'PMC3237323.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Reduction in Aβ polymers in the hippocampus'}]"
