Cluster_Label,Biomarker,Relations
[11c]pib,[11C]PIB,"[{'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose Alzheimer's Disease by measuring Aβ load""}, {'article': 'PMC4877513.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Aβ deposition in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Amyloid load in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Liraglutide treatment in Alzheimer's Disease patients""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid-beta'}, {'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[11c]pib,[11C]PiB PET,"[{'article': 'PMC2764863.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid deposition in AD'}]"
[11c]pib,[C11]PiB PET,"[{'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]pib,PET,"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6130053.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6236893.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Functional disability progression in Alzheimer's Disease""}, {'article': 'PMC6884754.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[11c]pib,PiB load,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Early AD marker'}]"
[11c]pib,PIB,"[{'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease-related cognitive impairment""}, {'article': 'PMC4346122.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5068716.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease presence of amyloid plaques""}]"
[11c]pib,PIB imaging,"[{'article': 'PMC4870937.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4870937.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
[11c]pib,PIB-PET,"[{'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Amyloid plaques associated with Alzheimer's Disease""}, {'article': 'PMC4346122.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Predict Pittsburgh compound B positivity'}]"
[11c]pib,PILRB,"[{'article': 'PMC4876682.txt', 'relationship': 'ASSOCIATED_WITH', 'object': ""Alzheimer's Disease""}]"
[11c]pib,11C-PiB,"[{'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Aβ deposition in Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Aβ plaque deposition in Alzheimer's Disease""}]"
[11c]pib,PiB,"[{'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: Amyloid-beta (Aβ) burden'}, {'article': 'PMC5144753.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Neuritic Plaques (NPs)'}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Diffuse Plaques (DPs)'}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral Amyloid Angiopathy (CAA)'}]"
[11c]pib,PET-PiB,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differential diagnosis of dementia'}]"
[11c]pib,PiB-PET,"[{'article': 'PMC3523068.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Brain amyloid load in preclinical Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Amyloid Positivity in Alzheimer's Disease""}, {'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid Accumulation in Alzheimer's Disease""}, {'article': 'PMC5144753.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid-beta pathology'}, {'article': 'PMC5144753.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Early detection of amyloid-beta burden'}, {'article': 'PMC5144753.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Cognitive decline associated with neuritic plaques'}]"
[11c]pib,PiB-positive individuals,"[{'article': 'PMC3523068.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Risk for AD-type dementia'}]"
[18f]-fdg,[18F]-FDG,"[{'article': 'PMC5342482.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]-fdg,[18F]ox-ROStrace,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]-fdg,[18F]THK-5351,"[{'article': 'PMC6910674.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]-fdg,[18F]ROStrace,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]-fdg,[18F]RO948,"[{'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostication""}]"
[18f]-fdg,[18F]AZD4694,"[{'article': 'PMC8043944.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Amyloid-beta burden assessment'}]"
[18f]-fdg,[18F]MK-6240,"[{'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostication""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Assessment of therapeutic interventions'}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease pathophysiology""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitoring: Disease progression in Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis of Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitoring during Alzheimer's Disease treatment""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurofibrillary tangles in Alzheimer's Disease""}, {'article': 'PMC6069775.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]-fdg,[18F]GTP1 tau PET,"[{'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive decline in Alzheimer's Disease""}]"
[18f]-fdg,[18F]BR-351,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]-fdg,[18F]BR-420,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]-fdg,[18F]GTP1 SUVR,"[{'article': 'PMC8638526.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC8638526.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease severity""}, {'article': 'PMC8638526.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Clinical decline in cognitive assessments'}, {'article': 'PMC8638526.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC8638526.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Cognitive decline in prodromal, mild, or moderate AD'}]"
[18f]-fdg,[18F]GTP1,"[{'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Identifying individuals at risk for rapid clinical progression in Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostication""}]"
[18f]-fdg,[18F]GSK2647544,"[{'article': 'PMC5209404.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]-fdg,[18F]FDG,"[{'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Glucose metabolic rate in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cerebral glucose consumption in Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Liraglutide treatment in Alzheimer's Disease patients""}, {'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]-fdg,[18F]FBAT,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]-fdg,[18F]2B-SRF101,"[{'article': 'PMC8481830.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]florbetapir,[18F]florbetapir SUVR,"[{'article': 'PMC8638526.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
[18f]florbetapir,[18F]florbetaben,"[{'article': 'PMC6429814.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,18F-Florbetaben SUVR,"[{'article': 'PMC8570037.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease progression""}]"
[18f]florbetapir,18F-Florbetapir,"[{'article': 'PMC6646979.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,[18F]flortaucipir,"[{'article': 'PMC8481830.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Tau accumulation in patients with mild cognitive impairment and AD'}, {'article': 'PMC8638526.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognostication""}]"
[18f]florbetapir,18F-florbetapir,"[{'article': 'PMC8905724.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid accumulation in Alzheimer’s disease'}]"
[18f]florbetapir,florbetapir F 18,"[{'article': 'PMC4027995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,18F-Florbetaben,"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,18F-flortaucipir,"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Tau deposition in Alzheimer's Disease""}]"
[18f]florbetapir,18F-Flortaucipir (18F-AV1451),"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,[18F]florbetapir,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6429814.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]florbetapir,[18F] florbetapir,"[{'article': 'PMC8843023.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]flutemetamol,[18F]Flutemetamol,"[{'article': 'PMC5352784.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'β-amyloid neuritic plaques'}]"
[18f]flutemetamol,[18F]flutemetamol,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Fibrillar Aβ'}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Fibrillar Aβ burden in the brain'}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4526582.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4526582.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4526582.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of amyloid-beta plaques in Alzheimer's Disease""}, {'article': 'PMC4886210.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8453354.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Amyloid deposition in Alzheimer's Disease""}, {'article': 'PMC5352784.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6429814.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,Flutemetamol F 18 Injection,"[{'article': 'PMC5352784.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,flutemetamol,"[{'article': 'PMC4526582.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,Flutemetamol F 18,"[{'article': 'PMC5352784.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,Flutemetamol,"[{'article': 'PMC4526582.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,[18F]flutemetamol PET,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
[18f]flutemetamol,flutemetamol (18F),"[{'article': 'PMC4526582.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
[18f]flutemetamol,[18F]-flutemetamol,"[{'article': 'PMC4862247.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid plaques'}]"
[18f]flutemetamol,18F-flutemetamol PET,"[{'article': 'PMC4683859.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
11β-hsd1,11β-HSD1,"[{'article': 'PMC5301048.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Treatment: UE2343 (Xanamem™) for Alzheimer's Disease""}]"
11β-hsd1,11β‐HSD1,"[{'article': 'PMC5301048.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of cognitive impairment in early‐stage Alzheimer's Disease""}, {'article': 'PMC5301048.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Cognitive improvement in memory'}, {'article': 'PMC5301048.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Therapeutic strategy for Alzheimer's Disease""}]"
18f-av-1451,18F-AV-1451 (tau),"[{'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau pathology in Alzheimer's Disease""}]"
18f-av-1451,18F-AV-1451,"[{'article': 'PMC4995360.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Tau pathology in Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Tau pathology'}, {'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau pathology in Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Tau aggregates in Alzheimer's Disease""}, {'article': 'PMC5209394.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
18f-av-1451,AV-1451 PET,"[{'article': 'PMC6204612.txt', 'relationship': 'BIOMARKER_DYNAMICS_UNDER_TREATMENT', 'object': 'Monitoring disease progression in Progressive Supranuclear Palsy (PSP)'}]"
18f-av-1451,AV-1451,"[{'article': 'PMC5209394.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6204612.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differentiate PSP patients from controls'}, {'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau pathology in Alzheimer's Disease""}, {'article': 'PMC6204612.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6204612.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Tau pathology in Alzheimer's Disease""}]"
18f-fdg,18F-FDG PET,"[{'article': 'PMC6646979.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Decline in relative CMRgl in Alzheimer disease–associated region'}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES', 'object': 'Functional impairment of neurons'}, {'article': 'PMC9011335.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease progression""}]"
18f-fdg,18F-fluorodeoxyglucose,"[{'article': 'PMC8905724.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Brain metabolism in Alzheimer’s disease'}]"
18f-fdg,Fluorodeoxyglucose (FDG),"[{'article': 'PMC3460756.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
18f-fdg,18F-FDG,"[{'article': 'PMC3467226.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early detection of Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Hypometabolism in Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early posterior hypometabolism in Alzheimer's Disease""}]"
18f-fdg,18F-FDG-PET,"[{'article': 'PMC5342482.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC6615169.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9011335.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC9011335.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Mild mesial temporal hypometabolism in Alzheimer's Disease""}]"
18f-fdg,18FDG,"[{'article': 'PMC9606044.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9606044.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitor: Disease progression in Alzheimer's Disease""}]"
