,Biomarker,Relations,Cluster
12,129Xe washout half-life,"[{'article': 'PMC9314594.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",461
13,129Xe-GM,"[{'article': 'PMC6023430.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}, {'article': 'PMC6023430.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Cerebral perfusion changes in Alzheimer's Disease""}]",614
14,13-cis-retinoic acid,"[{'article': 'PMC2765081.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Treatment of Alzheimer's Disease""}]",225
15,18F-AV-1451,"[{'article': 'PMC4995360.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Tau pathology in Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Tau pathology'}, {'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau pathology in Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Tau aggregates in Alzheimer's Disease""}, {'article': 'PMC5209394.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",692
16,18F-AV-1451 (tau),"[{'article': 'PMC4995360.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau pathology in Alzheimer's Disease""}]",692
17,18F-AV45 SUVR,"[{'article': 'PMC7808620.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}]",552
18,18F-FDG,"[{'article': 'PMC3467226.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early detection of Alzheimer's Disease""}, {'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6879435.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Hypometabolism in Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early posterior hypometabolism in Alzheimer's Disease""}]",43
19,18F-FDG (glucose metabolism),"[{'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Glucose metabolism abnormalities in Alzheimer's Disease""}]",357
20,18F-FDG PET,"[{'article': 'PMC6646979.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Decline in relative CMRgl in Alzheimer disease–associated region'}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES', 'object': 'Functional impairment of neurons'}, {'article': 'PMC9011335.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease progression""}]",43
21,18F-FDG uptake,"[{'article': 'PMC4868930.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",593
22,18F-FDG-PET,"[{'article': 'PMC5342482.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC6615169.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9011335.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC9011335.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Mild mesial temporal hypometabolism in Alzheimer's Disease""}]",43
23,18F-Florbetaben,"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",689
24,18F-Florbetaben SUVR,"[{'article': 'PMC8570037.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease progression""}]",689
25,18F-Florbetapir,"[{'article': 'PMC6646979.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",689
26,18F-Flortaucipir (18F-AV1451),"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",689
27,18F-PI-2620,"[{'article': 'PMC9327167.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Tau deposition in early Alzheimer's Disease""}, {'article': 'PMC9327167.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early tau deposition in Alzheimer's Disease""}, {'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau buildup in Alzheimer's Disease""}]",552
28,18F-PI-2620 SUVR,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Tau load'}, {'article': 'PMC9327167.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Tau positivity'}, {'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid p-tau'}, {'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cerebral spinal fluid t-tau'}, {'article': 'PMC9327167.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Reduced hippocampal volume'}, {'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive decline'}, {'article': 'PMC9327167.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",552
29,18F-PI-2620 SUVR in fusiform gyrus,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau deposition in Alzheimer's Disease""}]",552
30,18F-PI-2620 SUVR in inferior temporal cortex,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau deposition in Alzheimer's Disease""}]",655
31,18F-PI-2620 SUVR in mesial temporal cortex,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau deposition in Alzheimer's Disease""}]",655
32,18F-PI-2620 SUVR in occipital cortex,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau deposition in Alzheimer's Disease""}]",655
33,18F-PI-2620 SUVR in superior temporal cortex,"[{'article': 'PMC9327167.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Tau deposition in Alzheimer's Disease""}]",655
34,18F-florbetaben PET,"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Aβ deposition'}]",362
35,18F-florbetapir,"[{'article': 'PMC8905724.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Amyloid accumulation in Alzheimer’s disease'}]",689
36,18F-flortaucipir,"[{'article': 'PMC8005243.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Tau deposition in Alzheimer's Disease""}]",689
37,18F-fluorodeoxyglucose,"[{'article': 'PMC8905724.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Brain metabolism in Alzheimer’s disease'}]",43
38,18F-flutemetamol (amyloid-β),"[{'article': 'PMC4995360.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Amyloid-β pathology in Alzheimer's Disease""}]",8
39,18F-flutemetamol PET,"[{'article': 'PMC4683859.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",393
40,18FDG,"[{'article': 'PMC9606044.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9606044.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Monitor: Disease progression in Alzheimer's Disease""}]",43
41,18FDG-PET,"[{'article': 'PMC9606044.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Monitoring functional changes in the brain during PE treatment'}, {'article': 'PMC9606044.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease progression""}, {'article': 'PMC9606044.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9606044.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Metabolic deficits associated with neuronal damage in Alzheimer's Disease""}, {'article': 'PMC9606044.txt', 'relationship': 'PREDICTS_PRESENCE_OF', 'object': ""Predicts: Rapid progression to more severe Alzheimer's Disease""}, {'article': 'PMC9606044.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'response to PE treatment in AD patients'}]",43
42,18Q,"[{'article': 'PMC4899632.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Associated with better motor coordination and extended survival in Alzheimer's Disease models.""}]",111
43,2'-deoxyguanosine,"[{'article': 'PMC7551340.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease through oxidative stress and cognitive decline""}]",591
44,2-deoxy-D-glucose (2DG),"[{'article': 'PMC6015016.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Alzheimer’s Disease'}]",586
45,200 kDa neurofilament,"[{'article': 'PMC3978916.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Neuronal damage in Alzheimer's Disease""}]",281
46,23Q,"[{'article': 'PMC4899632.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Used to diagnose and study disease progression in Alzheimer's Disease models.""}]",111
47,24HC,"[{'article': 'PMC9797897.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'CYP46A1 activation in early Alzheimer’s disease'}, {'article': 'PMC9797897.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9797897.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9797897.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Treatment response in Alzheimer's Disease""}, {'article': 'PMC9797897.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to Efavirenz treatment in Alzheimer's Disease""}]",230
48,24OH,"[{'article': 'PMC3712995.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC3712995.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Better spatial memory retention in aged female mice, indicating potential for better prognosis in Alzheimer's Disease""}, {'article': 'PMC3712995.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Cognitive function in Alzheimer's Disease""}]",594
49,25-hydroxyvitamin D (25OHD),"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3212921.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}]",553
50,25OHD,"[{'article': 'PMC3212921.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Hypovitaminosis D in Alzheimer's Disease Patients""}]",594
51,2D T2-weighted FLAIR MRI,"[{'article': 'PMC5576287.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",158
52,2D T2-weighted GRE MRI,"[{'article': 'PMC5576287.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",158
53,2DG,"[{'article': 'PMC6015016.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6015016.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Brain metabolism impairment in Alzheimer's Disease mouse models""}, {'article': 'PMC6015016.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Glucose metabolism in Alzheimer's Disease""}]",136
54,2DG uptake,"[{'article': 'PMC6015016.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Brain metabolism deficits in Alzheimer's Disease""}]",593
55,2DG6P,"[{'article': 'PMC6015016.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",136
56,2HG,"[{'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9212787.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",0
57,3-Hydroxybutyrate,"[{'article': 'PMC7551340.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Mild Cognitive Impairment'}]",361
58,3-hydroxybutyrate,"[{'article': 'PMC7551340.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Improved cognitive function through ketogenesis'}]",361
59,30-second chair stand test (CST),"[{'article': 'PMC4431827.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Improvement in lower limb strength and function after exercise'}]",291
60,30CST,"[{'article': 'PMC10475546.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Lower-body strength in older adults with cognitive decline'}]",122
61,390-gene co-expression module,"[{'article': 'PMC7884393.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]",638
62,3D T1-weighted MRI,"[{'article': 'PMC5576287.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",158
63,3MS,"[{'article': 'PMC4324943.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Global cognitive function in Alzheimer's Disease""}, {'article': 'PMC4324943.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]",348
64,4-HNE,"[{'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}]",0
65,4-hydroxyhexenal (4HHE),"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Oxidative stress in AD'}]",591
66,4-item Instrumental Activities of Daily Living scale (IADL-PAQUID) score,"[{'article': 'PMC3212921.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Disability in instrumental activities'}]",419
67,48Q,"[{'article': 'PMC4899632.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Associated with impaired motor coordination and reduced survival in Alzheimer's Disease models.""}]",111
68,4G8,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Assessing Aβ levels in biopsy samples'}]",348
69,4G8 antibody,"[{'article': 'PMC4003513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of amyloid-beta plaques'}]",25
70,4SBT,"[{'article': 'PMC10475546.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Balance in older adults with cognitive decline'}]",348
71,5 LOX,"[{'article': 'PMC3237323.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Reduction of pro-inflammatory enzyme in AD mice'}]",695
72,5-HT6 receptor antagonist,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease treatment""}]",688
73,5-LOX,"[{'article': 'PMC3237323.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': 'Inflammatory response: Reduced to control levels by J147'}]",695
74,6-CN-PiB,"[{'article': 'PMC4003513.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",545
75,67-kDa laminin receptor,"[{'article': 'PMC4675859.txt', 'relationship': 'TARGET_OF_TREATMENT', 'object': ""Alzheimer's Disease""}]",120
76,6MWT,"[{'article': 'PMC6406356.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Global cognitive and physical function in Alzheimer's Disease""}, {'article': 'PMC6406356.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Better brain health and cognition'}]",348
77,73Q,"[{'article': 'PMC4899632.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Indicates presence of neuronal hyperexcitability in Alzheimer's Disease models.""}]",111
78,"8,12-isoiPF(2alpha)-VI","[{'article': 'PMC6966425.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Differentiating AD-MCA; biomarkers of AD progression'}]",431
79,8-OHDG,"[{'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress in Alzheimer's Disease""}]",594
80,8-OHdG,"[{'article': 'PMC6104449.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6104449.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""DNA and RNA oxidation in Alzheimer's Disease""}, {'article': 'PMC6966425.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Differentiating Alzheimer's Disease from healthy controls""}, {'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",594
81,8-hydroxy-2′-deoxyguanosine (8-OHdG),"[{'article': 'PMC6104449.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to probiotic treatment in Alzheimer's Disease patients""}]",591
82,8-hydroxydeoxyguanosine (8-OHdG),"[{'article': 'PMC9527145.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Oxidative stress in AD'}]",591
83,8-oxoGuo,"[{'article': 'PMC3110199.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3110199.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'oxidative RNA damage'}]",585
84,8-oxodG,"[{'article': 'PMC3110199.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3110199.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'oxidative DNA damage'}]",585
85,8-oxodG/8-oxoGuo,"[{'article': 'PMC3110199.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Oxidative stress linked to Alzheimer's Disease""}]",585
86,A,"[{'article': 'PMC4970664.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",113
87,A+T+ profile,"[{'article': 'PMC7890889.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",122
88,A/T/N system,"[{'article': 'PMC4970664.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]",122
89,A1 astrocyte phenotype,"[{'article': 'PMC9527145.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]",339
90,A2 astrocyte phenotype,"[{'article': 'PMC9527145.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",339
91,A2m,"[{'article': 'PMC8581408.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Amyloid-β clearance'}]",312
92,A673T,"[{'article': 'PMC4304279.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",144
93,A673T mutation in APP,"[{'article': 'PMC4888851.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]",100
94,AAB-003,"[{'article': 'PMC4772335.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC4772335.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Response to treatment in Alzheimer's Disease""}, {'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Completed Phase I trials'}]",222
95,AAB-003 levels,"[{'article': 'PMC4772335.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Treatment response'}]",222
96,AADvac-1,"[{'article': 'PMC5516350.txt', 'relationship': 'RELATED_TREATMENT', 'object': ""Alzheimer's Disease treatment""}]",222
97,AADvac1,"[{'article': 'PMC6201586.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment: Active immunotherapy for Alzheimer's Disease""}, {'article': 'PMC6201586.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6201586.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease""}, {'article': 'PMC6201586.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Slower brain atrophy and less cognitive decline in Alzheimer's Disease""}, {'article': 'PMC6201586.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Patients with higher antibody titres'}]",222
98,AB,"[{'article': 'PMC8381483.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]",304
99,AB 42/40 ratio,"[{'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]",304
